source_sheet,excel_row,template_order,section,section_source_row,subgroup,source_number,item_name,unit,quantity_default,quantity_formula,quantity_source_suggestion,sale_unit_price,cost_unit_price,cost_status,amount_formula,remarks,material_demand_category,can_trigger_material_demand,data_quality_notes
半包报价模板,6,1,一、砌墙工程,5,,1,内墙顶涂料铲除及打毛处理,M2,0,,主案设计师手工填写,8,4,已提供,F6*G6,1、人工费；                                                               2、垃圾装袋运至小区指定点，如需要运到小区外费用另计。,,否,
半包报价模板,7,2,一、砌墙工程,5,,2,120墙体拆除,M2,0,,主案设计师手工填写,62,40,已提供,,1、指不违反物业规定的非承重墙；                                                 2、人工费；                                                                    3、垃圾装袋运至小区指定点，如需要运到小区外费用另计。,,否,
半包报价模板,8,3,一、砌墙工程,5,,3,240墙体拆除,M2,0,,主案设计师手工填写,72,50,已提供,,1、指不违反物业规定的非承重墙；                                                 2、人工费；                                                                    3、垃圾装袋运至小区指定点，如需要运到小区外费用另计。,,否,
半包报价模板,9,4,一、砌墙工程,5,,4,构造墙切割,处,0,,主案设计师手工填写,1000,800,已提供,,1、指不违反物业规定的非承重墙；                                                 2、人工费；                                                                    3、垃圾装袋运至小区指定点，如需要运到小区外费用另计。,,否,
半包报价模板,10,5,一、砌墙工程,5,,5,横梁剥皮,项,0,,主案设计师手工填写,500,300,已提供,,1、指不违反物业规定的非承重墙；                                                 2、人工费；                                                                    3、垃圾装袋运至小区指定点，如需要运到小区外费用另计。,,否,
半包报价模板,11,6,一、砌墙工程,5,,6,原有飘窗拆除,M,0,,主案设计师手工填写,260,200,已提供,,1、人工费；                                                              2、垃圾装袋运至小区指定点，如需要运到小区外费用另计。                         3、如遇混凝土及钢结构飘窗费用另计,,否,
半包报价模板,12,7,一、砌墙工程,5,,7,敲半墙,M2,0,,主案设计师手工填写,118,50,已提供,,1、指不违反物业规定的非承重墙；                                                   2、人工费；                                                                     3、垃圾装袋运至小区指定点，如需要运到小区外费用另计。                         4、如遇轻质砖墙或空斗砖墙，需整体拆墙后，再重新砌墙粉刷，费用另计,,否,
半包报价模板,13,8,一、砌墙工程,5,,8,挖半墙后墙面修补抹灰,M2,0,,主案设计师手工填写,50,30,已提供,,水泥砂浆粉面抹灰,,否,
半包报价模板,14,9,一、砌墙工程,5,,9,普通地梁浇筑,M,3.85,0.41+0.66+0.98+0.94+0.5+0.36,规则计算,50,35,已提供,,"1、强度32.5普通硅酸盐水泥；             
2、瓜子片浇筑； 钢筋植入，打入植筋胶                        
3、现浇地梁高度≥200mm",,否,
半包报价模板,15,10,一、砌墙工程,5,,10,地梁浇筑,M,0,,主案设计师手工填写,220,160,已提供,,"1、强度32.5普通硅酸盐水泥；             
2、瓜子片浇筑； 钢筋植入，打入植筋胶                        
3、地板支模现浇地梁高度≥200mm",,否,
半包报价模板,16,11,一、砌墙工程,5,,11,快装龙骨隔墙（防水板/干湿区砌墙专用）,M2,0,,主案设计师手工填写,258,160,已提供,,1、使用快装龙骨+背衬板打底 （免焊龙骨规格34*34）                     2、墙厚≤60mm，工程量按单面立面面积计。,,否,
半包报价模板,17,12,一、砌墙工程,5,,12,快装龙骨隔墙（石膏板饰面）,M2,0,,主案设计师手工填写,208,125,已提供,,1、使用快装龙骨+石膏板 （免焊龙骨规格34*34）                     2、墙厚≤80mm，工程量按单面立面面积计。,,否,
半包报价模板,18,13,一、砌墙工程,5,,13,快装龙骨隔墙（欧松板打底/石膏板饰面）,M2,0,,主案设计师手工填写,328,185,已提供,,1、使用快装龙骨+石膏板+欧松板打底 （免焊龙骨规格34*34）                     2、墙厚≤100mm，工程量按单面立面面积计。,,否,
半包报价模板,19,14,一、砌墙工程,5,,14,多孔120红砖砌墙,M2,58.4328,(0.41+0.66+0.92+0.9+0.36+3.1+1.28+1.51+1.58+1.06+0.38+0.33+0.35+1.88+0.56+0.84+0.38+1.44+0.56+1.58)*I5,引用其他项目/参数,188,128,已提供,,1、使用多孔砖，强度32.5普通硅酸盐水泥砂浆砌筑；                               2、墙厚≤120mm，工程量按单面立面面积计。4：墙面水泥砂浆抹灰,,否,
半包报价模板,20,15,一、砌墙工程,5,,15,多孔240红砖砌墙,M2,0.6402,(0.22)*I5,引用其他项目/参数,288,220,已提供,,1、使用多孔砖，强度32.5普通硅酸盐水泥砂浆砌筑；                               2、墙厚≤60mm，工程量按单面立面面积计。4：墙面水泥砂浆抹灰,,否,
半包报价模板,21,16,一、砌墙工程,5,,16,砌墙弧形墙造型,个,1,,主案设计师手工填写,400,300,已提供,,1、弧形墙人工费；,,否,
半包报价模板,22,17,一、砌墙工程,5,,17,双面石膏板隔墙,M2,3.5186,(0.33+0.21+0.26+0.66)*2.41,规则计算,138,90,已提供,,"1、轻钢龙骨基架，间距≤400mm，双面封9.5mm厚纸面石膏板，全封闭不带门窗，墙厚950mm; 
2、石膏板自攻螺丝钉固定，钉帽涂防锈漆，板接缝处填嵌缝石膏，粘帖专用绷带；",,否,
半包报价模板,23,18,一、砌墙工程,5,,18,石膏板隔墙隔音棉,M2,3.5186,SUM(F22),引用其他项目/参数,30,20,已提供,,"1、轻钢龙骨基架，间距≤400mm，双面封9mm厚纸面石膏板，全封闭不带门窗，墙厚120mm; 
2、石膏板自攻螺丝钉固定，钉帽涂防锈漆，板接缝处填嵌缝石膏，粘帖专用绷带；     
3、批腻子和面层装饰另计；               
4、隔断内填充保温隔音材料费用另计；     
5、工程量按单面立面面积计算；           
6、弧形工艺上浮30%。
7、15MM欧松板找平，打底。",,否,
半包报价模板,24,19,一、砌墙工程,5,,20,砖墙门洞过梁,个,5,,主案设计师手工填写,100,60,已提供,,混凝土过梁或4号角铁过梁1.0米以内为一个,房门/门套,是,
半包报价模板,27,20,二、客餐厅工程,26,,,门槛石安装,M,,,主案设计师手工填写,120,100,已提供,F27*G27,水泥黄沙铺贴（不足1米按1米算）,门槛石/窗台石/石材,是,
半包报价模板,28,21,二、客餐厅工程,26,,,石材窗台板铺设,M,,,主案设计师手工填写,100,80,已提供,,"1、轻工辅料，宽度≤300mm;                               
2、干性水泥砂浆铺贴，玻璃胶填缝；       
3、不含抛光打蜡。",门槛石/窗台石/石材,是,
半包报价模板,29,22,二、客餐厅工程,26,,,成品保护,M2,50,SUM(E26),空间面积,12,12,已提供,,乙方提供成品保护材料对于施工完成的半成品及成品进行保护。,,否,
半包报价模板,30,23,二、客餐厅工程,26,,防水,地面水性防水涂料（地暖地面要算2遍）,M2,,,主案设计师手工填写,65,35,已提供,,"1、地面清理，四周防水带，内外角防水贴，淋浴水管根套             
2、一般墙面上返300mm
3、做24小时蓄水试验（甲方验收签字）；                   
4、不包含原地面装饰层拆除；
5、按实际涂刷面积计算工程量。",,否,
半包报价模板,31,24,二、客餐厅工程,26,,,墙面水性防水涂料,M2,,,主案设计师手工填写,65,35,已提供,,"1、墙面清理，四周防水带，内外角防水贴，淋浴水管根套                 
2、卫生间墙面涂刷2000mm；                     
3、做24小时蓄水试验（甲方验收签字）；                   
4、不包含原地面装饰层拆除；
5、按实际涂刷面积计算工程量。",,否,
半包报价模板,32,25,二、客餐厅工程,26,,泥工贴砖,800*800mm地砖（水泥砂浆粘贴）,M2,0,,主案设计师手工填写,150,90,已提供,,水泥黄沙铺贴，斜铺、错缝、不规则、走边铺贴费用另计，不含美缝、胶泥。,瓷砖/石材铺贴,是,
半包报价模板,33,26,二、客餐厅工程,26,,,600*1200mm地砖（水泥砂浆粘贴）,M2,50,E26,空间面积,160,100,已提供,,水泥黄沙铺贴，斜铺、错缝、不规则、走边铺贴费用另计，不含美缝、胶泥。,瓷砖/石材铺贴,是,
半包报价模板,34,27,二、客餐厅工程,26,,,750*1500mm地砖（水泥砂浆粘贴）,M2,0,,主案设计师手工填写,170,105,已提供,,水泥黄沙铺贴，斜铺、错缝、不规则、走边铺贴费用另计，不含美缝、胶泥。,瓷砖/石材铺贴,是,
半包报价模板,35,28,二、客餐厅工程,26,,,900*1800mm地砖（水泥砂浆粘贴）,M2,0,,主案设计师手工填写,200,120,已提供,,水泥黄沙铺贴，斜铺、错缝、不规则、走边铺贴费用另计，不含美缝、胶泥。,瓷砖/石材铺贴,是,
半包报价模板,36,29,二、客餐厅工程,26,,,200*700mm小砖（胶泥粘帖）,M2,0,,主案设计师手工填写,200,140,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,37,30,二、客餐厅工程,26,,,800*800mm墙砖（胶泥粘帖）,M2,0,,主案设计师手工填写,160,100,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,38,31,二、客餐厅工程,26,,,600*1200mm墙砖（胶泥粘帖）,M2,0,,主案设计师手工填写,170,105,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,39,32,二、客餐厅工程,26,,,750*1500mm墙砖（胶泥粘帖）,M2,0,,主案设计师手工填写,180,110,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,40,33,二、客餐厅工程,26,,,900*1800mm墙砖（胶泥粘帖）,M2,0,,主案设计师手工填写,220,130,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,41,34,二、客餐厅工程,26,,,（薄贴）瓷砖增加人工费,M2,,,主案设计师手工填写,20,10,已提供,,水泥黄沙瓜子片地暖找平，厚度≤50mm,瓷砖/石材铺贴,是,
半包报价模板,42,35,二、客餐厅工程,26,,找平,粗找平,M2,0,,主案设计师手工填写,58,40,已提供,,水泥黄沙瓜子片地暖找平，厚度≤50mm,,否,
半包报价模板,43,36,二、客餐厅工程,26,,,瓜子片豆石精找平,M2,0,,主案设计师手工填写,78,50,已提供,,水泥黄沙瓜子片豆石精找平（地砖博贴专用，误差3mm）（厚度3到5cm）,,否,
半包报价模板,44,37,二、客餐厅工程,26,,,半干成品砂浆找平,M2,0,,主案设计师手工填写,98,65,已提供,,半干砂浆找平（地板找平专用，误差3mm以内）（厚度3到5cm）,,否,
