initialization_order,material_demand_category,source_item_name,unit,source_sale_unit_price,source_cost_unit_price,cost_status,applicable_sections,source_excel_rows,quantity_source_suggestion,initialization_type,material_sku_sale_unit_price,material_sku_cost_unit_price,sku_fields_to_complete,enable_status,matched_material_ids,fusion_note
1,房门/门套,砖墙门洞过梁,个,100,60,已提供,一、砌墙工程,24,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审,MAT-MT-04,由静悦府物料手册匹配；半包来源已更新为《半包报价单_v2.xlsx》；最终项目选型仍需按空间、规格和启用状态筛选
2,门槛石/窗台石/石材,门槛石安装,M,120,100,已提供,二、客餐厅工程,27,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审,MAT-ST-07 / MAT-ST-08,由静悦府物料手册匹配；半包来源已更新为《半包报价单_v2.xlsx》；最终项目选型仍需按空间、规格和启用状态筛选
3,门槛石/窗台石/石材,石材窗台板铺设,M,100,80,已提供,二、客餐厅工程,28,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审,MAT-ST-07 / MAT-ST-08,由静悦府物料手册匹配；半包来源已更新为《半包报价单_v2.xlsx》；最终项目选型仍需按空间、规格和启用状态筛选
4,瓷砖/石材铺贴,800*800mm地砖（水泥砂浆粘贴）,M2,150,90,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,32 / 77 / 130,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审,MAT-ST-01 / MAT-ST-02 / MAT-ST-03 / MAT-ST-04 / MAT-ST-05 / MAT-ST-06 / MAT-ST-07 / MAT-ST-08,由静悦府物料手册匹配；半包来源已更新为《半包报价单_v2.xlsx》；最终项目选型仍需按空间、规格和启用状态筛选
5,瓷砖/石材铺贴,600*1200mm地砖（水泥砂浆粘贴）,M2,160,100,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,33 / 78 / 131,空间面积 / 引用其他项目/参数,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审,MAT-ST-01 / MAT-ST-02 / MAT-ST-03 / MAT-ST-04 / MAT-ST-05 / MAT-ST-06 / MAT-ST-07 / MAT-ST-08,由静悦府物料手册匹配；半包来源已更新为《半包报价单_v2.xlsx》；最终项目选型仍需按空间、规格和启用状态筛选
6,瓷砖/石材铺贴,750*1500mm地砖（水泥砂浆粘贴）,M2,170,105,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,34 / 79 / 132,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审,MAT-ST-01 / MAT-ST-02 / MAT-ST-03 / MAT-ST-04 / MAT-ST-05 / MAT-ST-06 / MAT-ST-07 / MAT-ST-08,由静悦府物料手册匹配；半包来源已更新为《半包报价单_v2.xlsx》；最终项目选型仍需按空间、规格和启用状态筛选
7,瓷砖/石材铺贴,900*1800mm地砖（水泥砂浆粘贴）,M2,200,120,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,35 / 80 / 133,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审,MAT-ST-01 / MAT-ST-02 / MAT-ST-03 / MAT-ST-04 / MAT-ST-05 / MAT-ST-06 / MAT-ST-07 / MAT-ST-08,由静悦府物料手册匹配；半包来源已更新为《半包报价单_v2.xlsx》；最终项目选型仍需按空间、规格和启用状态筛选
8,瓷砖/石材铺贴,200*700mm小砖（胶泥粘帖）,M2,200,140,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,36 / 81 / 134,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审,MAT-ST-01 / MAT-ST-02 / MAT-ST-03 / MAT-ST-04 / MAT-ST-05 / MAT-ST-06 / MAT-ST-07 / MAT-ST-08,由静悦府物料手册匹配；半包来源已更新为《半包报价单_v2.xlsx》；最终项目选型仍需按空间、规格和启用状态筛选
9,瓷砖/石材铺贴,800*800mm墙砖（胶泥粘帖）,M2,160,100,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,37 / 82 / 135,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审,MAT-ST-01 / MAT-ST-02 / MAT-ST-03 / MAT-ST-04 / MAT-ST-05 / MAT-ST-06 / MAT-ST-07 / MAT-ST-08,由静悦府物料手册匹配；半包来源已更新为《半包报价单_v2.xlsx》；最终项目选型仍需按空间、规格和启用状态筛选
10,瓷砖/石材铺贴,600*1200mm墙砖（胶泥粘帖）,M2,170,105,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,38 / 83 / 136,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审,MAT-ST-01 / MAT-ST-02 / MAT-ST-03 / MAT-ST-04 / MAT-ST-05 / MAT-ST-06 / MAT-ST-07 / MAT-ST-08,由静悦府物料手册匹配；半包来源已更新为《半包报价单_v2.xlsx》；最终项目选型仍需按空间、规格和启用状态筛选
