材料ID,材料名称,材料类型,材料子类型,品牌,规格型号,颜色,颜色来源,照片路径,单位,单价,成本,价格口径,价格匹配等级,价格匹配依据,关联半包工程项,半包模板Excel行,适用区域,PPT项目数量,PPT来源页,PPT来源编号,照片SHA256,项目概况原始信息,启用状态,待补充字段,数据说明
MAT-ST-01,客厅瓷砖,瓷砖/石材类,地砖,HBI,750*1500,浅米白石纹,照片推断,主材库完整版_静悦府融合_照片/MAT-ST-01__ST-01.jpg,M2,170,105,半包施工单价/预计施工成本,精确,规格750*1500，客餐厅地面,750*1500mm地砖（水泥砂浆粘贴）,34,客厅，餐厅，厨房地面,,4,ST-01,99419e47cdc2d3959ce513661bdb8352eaf08c17f68399a4615a9ff308442f46,"{""name"": ""客厅瓷砖"", ""brand"": ""图森"", ""model"": """", ""area"": """"}",可启用,,PPT项目概况品牌为图森，详细页品牌为HBI；采用详细页；价格取自半包施工工序，不等同于主材采购/零售价格
MAT-ST-02,卫生间墙地砖,瓷砖/石材类,墙地砖,HBI,600*1200,浅灰石纹,照片推断,主材库完整版_静悦府融合_照片/MAT-ST-02__ST-02.jpg,M2,170,105,半包施工单价/预计施工成本,近似,规格600*1200，按墙砖工序匹配；PPT同时标注墙地面,600*1200mm墙砖（胶泥粘帖）,38,卫生间墙地面,,4,ST-02,afd4201c97223668981dd9368e0d9c90c07b6b29e1806af20c62e582409b9f97,,待补充/待确认,价格匹配待确认,价格取自半包施工工序，不等同于主材采购/零售价格
MAT-ST-03,房间瓷砖,瓷砖/石材类,地砖,新岩素,600*1200,暖棕木纹,照片推断,主材库完整版_静悦府融合_照片/MAT-ST-03__ST-03.jpg,M2,160,100,半包施工单价/预计施工成本,精确,规格600*1200，房间地面,600*1200mm地砖（水泥砂浆粘贴）,33,房间地面,,4,ST-03,a6705507f0e49bf316d1f600abb8b849f652c0bbcddf36cafdfcdc6e8284ff93,"{""name"": ""房间瓷砖"", ""brand"": ""图森"", ""model"": """", ""area"": """"}",可启用,,PPT项目概况品牌为图森，详细页品牌为新岩素；采用详细页；价格取自半包施工工序，不等同于主材采购/零售价格
MAT-ST-04,主卫背景砖,瓷砖/石材类,背景墙砖,HBI,600*1200,米白细纹,照片推断,主材库完整版_静悦府融合_照片/MAT-ST-04__ST-04.jpg,M2,170,105,半包施工单价/预计施工成本,精确,规格600*1200，主卫背景墙,600*1200mm墙砖（胶泥粘帖）,38,主卫背景,,4,ST-04,87674fb257f781cbf338d696671294692c43e9c38d68534445593d28ca26f17d,,可启用,,价格取自半包施工工序，不等同于主材采购/零售价格
MAT-ST-05,厨房墙砖,瓷砖/石材类,墙砖,HBI,,暖白,照片推断,主材库完整版_静悦府融合_照片/MAT-ST-05__ST-05.jpg,M2,170,105,半包施工单价/预计施工成本,近似,厨房墙面，PPT未提供规格，暂按600*1200墙砖工序,600*1200mm墙砖（胶泥粘帖）,38,厨房墙面,,5,ST-05,f269fba4c9b1d6eb0613c335a8e42351a573375cecedff130f0bc5b2f19adcda,,待补充/待确认,规格型号；价格匹配待确认,价格取自半包施工工序，不等同于主材采购/零售价格
MAT-ST-06,电视背景定制砖,瓷砖/石材类,背景墙砖,定制,70*200,黑色,照片推断,主材库完整版_静悦府融合_照片/MAT-ST-06__ST-06.png,M2,200,140,半包施工单价/预计施工成本,近似,小规格背景砖，PPT为70*200，Excel最近项为200*700小砖,200*700mm小砖（胶泥粘帖）,36,电视背景,,5,ST-06,cbca15ff1aa062cc99168459fef71ef17de3103a9622e83ad1f4cde8e43a09f0,,待补充/待确认,价格匹配待确认,价格取自半包施工工序，不等同于主材采购/零售价格
MAT-ST-07,厨房柱子水磨石饰面板,瓷砖/石材类,定制石材饰面,定制,水磨石粉 / 12*1200*2700,粉色水磨石,型号及照片,主材库完整版_静悦府融合_照片/MAT-ST-07__ST-07.png,M2,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,厨房柱子,,5,ST-07,c50f988b532b75f881ce84c6c3a68392efe0dae8b799706f7216eb1cb37057ef,,待补充/待确认,单价；成本,
MAT-ST-08,餐边柜中岛米白洞石饰面,瓷砖/石材类,定制石材饰面,定制,米白洞石 / 9*1200*2700,米白洞石,型号及照片,主材库完整版_静悦府融合_照片/MAT-ST-08__ST-08.png,M2,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,餐边柜中岛,,5,ST-08,2af3d96f65c62cd58f635bc97234fff3515acaf97ccad49471d17f083de81ce5,,待补充/待确认,单价；成本,
MAT-WD-01,木作饰面板 WD-01,木作类,木作饰面板,,,浅米木纹,照片推断,主材库完整版_静悦府融合_照片/MAT-WD-01__WD-01.png,M2,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,6,WD-01,8a9d29a6ab54a41488ca0b6258a1945fa40f495d695e0ee370001e960e2785d0,,待补充/待确认,品牌；规格型号；单价；成本,
MAT-WD-02,木作饰面板 WD-02,木作类,木作饰面板,,,浅灰木纹,照片推断,主材库完整版_静悦府融合_照片/MAT-WD-02__WD-02.png,M2,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,6,WD-02,ce3eea9db7003538611ea42d537773dd8b0b6821014a2a9888a134a95ff96b8f,,待补充/待确认,品牌；规格型号；单价；成本,
MAT-WD-03,衣柜柜门,木作类,柜门饰面,图森,,灰棕木纹,照片推断,主材库完整版_静悦府融合_照片/MAT-WD-03__WD-03.png,M2,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,6,WD-03,5a1b014e0cfc771838a219a5c40a223d0cd916b1d459f096dae1e0df0c8d9474,"{""name"": ""衣柜柜门"", ""brand"": ""图森"", ""model"": """", ""area"": """"}",待补充/待确认,规格型号；单价；成本,
MAT-WD-04,木作饰面板 WD-04,木作类,木作饰面板,,,深灰木纹,照片推断,主材库完整版_静悦府融合_照片/MAT-WD-04__WD-04.png,M2,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,6,WD-04,7e856339c256aef4037e76c9b5bc69d1ecb1dd5cc15f6a09f1372823176054d1,,待补充/待确认,品牌；规格型号；单价；成本,
MAT-WD-05,木作饰面板 WD-05,木作类,木作饰面板,,,浅米木纹,照片推断,主材库完整版_静悦府融合_照片/MAT-WD-05__WD-05.png,M2,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,7,WD-05,0126197f5ed1d71ee82743aa2bf7d90fc40ff96721409eacef72d1204f13be84,,待补充/待确认,品牌；规格型号；单价；成本,
MAT-WD-06,木作饰面板 WD-06,木作类,木作饰面板,,,浅灰木纹,照片推断,主材库完整版_静悦府融合_照片/MAT-WD-06__WD-06.png,M2,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,7,WD-06,7767b8bc380b858e0db64983056b33eca2bf97746a487f83a7ffdb805a2b17cb,,待补充/待确认,品牌；规格型号；单价；成本,
MAT-WD-07,木作饰面板 WD-07,木作类,木作饰面板,,,灰棕木纹,照片推断,主材库完整版_静悦府融合_照片/MAT-WD-07__WD-07.png,M2,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,7,WD-07,6d20b78036442bbf6a2f2f46603a231b0b2a955f7105149d6f39d78133bff6ed,,待补充/待确认,品牌；规格型号；单价；成本,
MAT-WD-08,木作饰面板 WD-08,木作类,木作饰面板,,,深棕木纹,照片推断,主材库完整版_静悦府融合_照片/MAT-WD-08__WD-08.png,M2,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,7,WD-08,e7f5223b6680c3f36f79e5fb7bcc3b54b4286560aea898fdfe13e02b3ed4a33e,,待补充/待确认,品牌；规格型号；单价；成本,
MAT-WD-09,木作饰面板 WD-09,木作类,木作饰面板,,,深咖木纹,照片推断,主材库完整版_静悦府融合_照片/MAT-WD-09__WD-09.png,M2,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,7,WD-09,486d1a8efd7ed42c51cbc8cee4decabeabdb6c14bdaee9b8c7e314a4143e3769,,待补充/待确认,品牌；规格型号；单价；成本,
MAT-WD-10,木作饰面板 WD-10,木作类,木作饰面板,,,灰棕木纹,照片推断,主材库完整版_静悦府融合_照片/MAT-WD-10__WD-10.png,M2,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,7,WD-10,8d9707aada5b416e96dc8ebec4450e5938e32ab1c496975791239db4ed744fe3,,待补充/待确认,品牌；规格型号；单价；成本,
