initialization_order,material_demand_category,source_item_name,unit,source_sale_unit_price,source_cost_unit_price,cost_status,applicable_sections,source_excel_rows,quantity_source_suggestion,initialization_type,material_sku_sale_unit_price,material_sku_cost_unit_price,sku_fields_to_complete,enable_status
1,房门/门套,砖墙门洞过梁,个,100,60,已提供,一、砌墙工程,24,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
2,门槛石/窗台石/石材,门槛石安装,M,120,100,已提供,二、客餐厅工程,27,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
3,门槛石/窗台石/石材,石材窗台板铺设,M,100,80,已提供,二、客餐厅工程,28,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
4,瓷砖/石材铺贴,800*800mm地砖（水泥砂浆粘贴）,M2,150,90,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,32 / 77 / 130,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
5,瓷砖/石材铺贴,600*1200mm地砖（水泥砂浆粘贴）,M2,160,100,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,33 / 78 / 131,空间面积 / 引用其他项目/参数,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
6,瓷砖/石材铺贴,750*1500mm地砖（水泥砂浆粘贴）,M2,170,105,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,34 / 79 / 132,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
7,瓷砖/石材铺贴,900*1800mm地砖（水泥砂浆粘贴）,M2,200,120,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,35 / 80 / 133,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
8,瓷砖/石材铺贴,200*700mm小砖（胶泥粘帖）,M2,200,140,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,36 / 81 / 134,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
9,瓷砖/石材铺贴,800*800mm墙砖（胶泥粘帖）,M2,160,100,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,37 / 82 / 135,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
10,瓷砖/石材铺贴,600*1200mm墙砖（胶泥粘帖）,M2,170,105,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,38 / 83 / 136,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
11,瓷砖/石材铺贴,750*1500mm墙砖（胶泥粘帖）,M2,180,110,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,39 / 84 / 137,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
12,瓷砖/石材铺贴,900*1800mm墙砖（胶泥粘帖）,M2,220,130,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,40 / 85 / 138,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
13,瓷砖/石材铺贴,（薄贴）瓷砖增加人工费,M2,20,10,已提供,二、客餐厅工程 / 三、卧室工程 / 八、厨卫工程,41 / 86 / 139,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
14,门槛石/窗台石/石材,石材窗台板铺设（飘窗）,M,160,100,已提供,三、卧室工程,74,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
15,门槛石/窗台石/石材,石材窗台板铺设,M,100,50,已提供,三、卧室工程,75,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
16,门槛石/窗台石/石材,门槛石安装,M,100,50,已提供,八、厨卫工程,121,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
17,淋浴房,下沉式淋浴房工艺,M,100,70,已提供,八、厨卫工程,140,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
18,卫浴/洁具,暗藏花洒预埋,套,300,200,已提供,十一、水电工程,170,主案设计师手工填写,主材需求触发关系（非商品SKU）,,,主材品类、品牌、规格型号、颜色、图片、商品销售单价、商品成本单价、计价单位、有效期,可评审
